Country,Age,Diet,Transportation,Housing,Carbon_Footprint
Italy,67,Vegetarian,Bicycle,House,2.87
France,35,Meat-based,Public Transit,House,3.69
France,34,Vegetarian,Car,House,3.1
Germany,57,Vegetarian,Car,House,5.67
UK,67,Vegetarian,Car,Apartment,4.29
Italy,24,Meat-based,Car,Apartment,4.91
Italy,67,Vegetarian,Car,House,4.0
France,77,Meat-based,Bicycle,House,2.83
Italy,75,Vegetarian,Bicycle,Apartment,2.72
Spain,48,Vegetarian,Public Transit,Apartment,3.32
France,42,Vegan,Public Transit,Apartment,2.09
Italy,39,Vegan,Public Transit,House,2.65
France,41,Vegan,Public Transit,Apartment,2.2
Italy,59,Meat-based,Car,Apartment,5.29
Germany,37,Vegan,Public Transit,Apartment,3.83
Italy,49,Meat-based,Bicycle,House,3.94
Germany,20,Meat-based,Car,Apartment,6.91
France,68,Vegan,Bicycle,House,1.78
Spain,79,Meat-based,Car,House,4.63
France,43,Meat-based,Car,House,4.61
UK,27,Vegan,Bicycle,Apartment,2.26
France,65,Meat-based,Public Transit,Apartment,3.41
UK,20,Meat-based,Bicycle,Apartment,3.13
France,75,Vegetarian,Car,House,3.47
UK,22,Meat-based,Car,House,5.6
UK,32,Meat-based,Car,House,5.32
Spain,38,Meat-based,Bicycle,Apartment,3.09
Germany,66,Meat-based,Bicycle,Apartment,4.69
France,35,Meat-based,Public Transit,Apartment,3.57
UK,28,Vegetarian,Car,Apartment,3.67
UK,42,Meat-based,Car,House,5.04
France,29,Meat-based,Bicycle,House,2.92
Spain,62,Meat-based,Car,Apartment,4.7
UK,46,Vegetarian,Car,Apartment,4.05
France,56,Meat-based,Bicycle,House,3.03
France,58,Vegetarian,Public Transit,House,2.75
Germany,30,Meat-based,Bicycle,Apartment,4.96
UK,50,Meat-based,Public Transit,Apartment,4.26
Germany,25,Meat-based,Bicycle,House,5.38
Germany,60,Meat-based,Car,House,7.36
Spain,34,Vegetarian,Bicycle,House,2.58
France,77,Vegan,Car,Apartment,2.42
Spain,50,Meat-based,Car,Apartment,4.77
UK,55,Vegetarian,Public Transit,Apartment,3.74
Italy,32,Meat-based,Public Transit,Apartment,4.01
Spain,73,Meat-based,Public Transit,Apartment,3.76
UK,49,Meat-based,Public Transit,Apartment,4.2
UK,47,Meat-based,Public Transit,House,4.59
Germany,58,Vegetarian,Public Transit,Apartment,4.82
France,62,Vegan,Car,House,2.36
Spain,47,Vegetarian,Car,House,3.84
Italy,56,Meat-based,Bicycle,Apartment,3.44
UK,72,Meat-based,Car,House,5.89
Spain,73,Meat-based,Bicycle,House,3.8
Italy,18,Vegan,Public Transit,Apartment,2.48
Spain,55,Meat-based,Bicycle,Apartment,3.47
France,44,Meat-based,Car,House,4.44
UK,20,Vegetarian,Bicycle,House,3.07
France,46,Vegetarian,Car,Apartment,3.09
France,62,Vegan,Public Transit,Apartment,1.91
Italy,33,Vegan,Car,Apartment,2.89
Italy,28,Vegan,Public Transit,Apartment,2.86
Spain,67,Meat-based,Bicycle,House,3.33
Italy,58,Vegetarian,Bicycle,Apartment,2.91
France,42,Vegan,Public Transit,Apartment,1.98
Italy,62,Vegan,Bicycle,Apartment,2.15
France,57,Vegetarian,Bicycle,Apartment,2.14
Italy,74,Meat-based,Car,House,5.24
UK,20,Vegetarian,Public Transit,Apartment,3.67
France,53,Vegan,Car,Apartment,2.51
Germany,52,Meat-based,Bicycle,House,5.64
UK,73,Vegan,Car,Apartment,2.86
Italy,50,Vegan,Public Transit,House,2.65
Italy,40,Vegetarian,Public Transit,Apartment,3.47
UK,61,Vegan,Public Transit,House,3.04
France,30,Vegetarian,Car,Apartment,2.99
Germany,36,Meat-based,Car,Apartment,6.61
Germany,49,Meat-based,Car,Apartment,6.63
UK,77,Meat-based,Public Transit,House,4.87
France,36,Meat-based,Car,Apartment,4.1
Germany,71,Vegan,Bicycle,House,3.17
Italy,59,Vegan,Public Transit,House,2.96
UK,71,Vegan,Public Transit,House,2.85
Germany,75,Vegetarian,Car,House,5.82
Italy,80,Vegetarian,Car,Apartment,3.76
Spain,79,Meat-based,Bicycle,Apartment,3.34
Italy,29,Meat-based,Bicycle,Apartment,3.16
France,20,Vegetarian,Bicycle,Apartment,2.11
Italy,29,Meat-based,Bicycle,Apartment,3.5
Italy,27,Vegetarian,Public Transit,Apartment,3.51
France,76,Meat-based,Public Transit,House,4.02
Spain,77,Vegetarian,Car,Apartment,4.0
UK,80,Vegan,Public Transit,House,2.95
Italy,80,Vegan,Bicycle,Apartment,2.16
Spain,39,Vegan,Car,House,3.29
Germany,61,Vegan,Car,House,4.18
UK,71,Meat-based,Public Transit,House,4.55
France,56,Vegan,Car,Apartment,2.42
Italy,30,Meat-based,Car,House,5.57
France,80,Vegan,Public Transit,Apartment,2.06
UK,56,Vegan,Car,House,3.23
Spain,41,Vegetarian,Public Transit,Apartment,3.15
Italy,37,Vegetarian,Bicycle,Apartment,2.56
Spain,65,Vegetarian,Public Transit,House,3.41
Spain,64,Vegetarian,Car,Apartment,3.4
Italy,48,Vegan,Public Transit,Apartment,2.84
UK,66,Vegetarian,Car,Apartment,3.89
Italy,44,Meat-based,Bicycle,House,3.92
Germany,30,Meat-based,Public Transit,House,7.0
France,70,Vegetarian,Bicycle,House,2.37
Spain,32,Meat-based,Car,Apartment,4.35
Spain,25,Vegan,Bicycle,House,2.1
Spain,76,Vegan,Bicycle,Apartment,1.74
Italy,49,Meat-based,Bicycle,House,3.83
UK,45,Vegetarian,Bicycle,House,3.37
France,41,Vegan,Bicycle,Apartment,1.71
Germany,55,Meat-based,Car,House,7.63
Germany,40,Meat-based,Car,House,7.48
Italy,21,Vegetarian,Public Transit,Apartment,3.5
Germany,66,Meat-based,Bicycle,Apartment,4.89
Italy,70,Vegan,Public Transit,House,3.01
Italy,24,Vegan,Bicycle,House,2.41
France,26,Vegan,Public Transit,House,2.42
Spain,39,Meat-based,Car,Apartment,4.26
Germany,71,Meat-based,Bicycle,Apartment,4.76
France,25,Meat-based,Car,House,4.11
Italy,26,Vegetarian,Bicycle,House,2.82
Italy,19,Vegan,Car,Apartment,2.69
Germany,62,Meat-based,Public Transit,Apartment,5.87
France,45,Vegan,Car,Apartment,2.07
Spain,66,Vegetarian,Car,Apartment,3.37
UK,55,Meat-based,Public Transit,Apartment,4.82
France,22,Vegetarian,Bicycle,Apartment,2.25
France,76,Vegan,Car,Apartment,2.15
Italy,19,Meat-based,Car,House,5.86
Italy,40,Meat-based,Bicycle,Apartment,3.39
France,24,Vegan,Car,Apartment,2.39
Italy,28,Vegan,Car,Apartment,3.15
UK,72,Vegan,Public Transit,House,3.09
Germany,46,Vegan,Car,Apartment,4.43
Spain,45,Meat-based,Bicycle,Apartment,3.14
Italy,25,Vegetarian,Car,Apartment,3.87
Italy,63,Vegetarian,Bicycle,Apartment,2.48
Spain,25,Vegetarian,Public Transit,House,3.73
Italy,61,Vegetarian,Car,House,4.12
Spain,30,Meat-based,Public Transit,House,4.28
Spain,61,Meat-based,Public Transit,House,4.59
France,25,Meat-based,Public Transit,House,3.96
France,65,Meat-based,Car,House,4.64
Italy,30,Vegan,Public Transit,Apartment,2.47
Spain,64,Vegetarian,Public Transit,House,3.85
Spain,40,Vegetarian,Bicycle,House,3.12
UK,35,Meat-based,Public Transit,Apartment,4.12
Spain,49,Meat-based,Bicycle,Apartment,2.9
France,71,Meat-based,Public Transit,Apartment,3.76
Spain,56,Vegan,Public Transit,Apartment,2.37
UK,24,Meat-based,Bicycle,House,4.08
Germany,36,Vegan,Public Transit,House,4.16
UK,39,Vegan,Bicycle,Apartment,2.27
France,45,Meat-based,Public Transit,House,3.67
Spain,46,Vegetarian,Car,Apartment,3.42
Italy,74,Vegan,Car,House,3.18
Italy,63,Vegetarian,Public Transit,Apartment,3.53
Spain,60,Vegan,Bicycle,House,2.12
Germany,50,Meat-based,Public Transit,House,6.91
Spain,57,Vegan,Public Transit,House,2.64
France,55,Meat-based,Car,House,4.11
UK,19,Vegan,Public Transit,House,2.73
Italy,40,Vegetarian,Public Transit,Apartment,3.6
Germany,33,Vegan,Public Transit,Apartment,4.04
France,73,Vegetarian,Car,House,3.17
UK,38,Meat-based,Public Transit,House,5.02
Spain,35,Meat-based,Bicycle,House,3.62
Italy,42,Vegan,Public Transit,House,2.95
Spain,24,Vegan,Bicycle,Apartment,1.86
UK,69,Vegan,Public Transit,Apartment,2.73
Italy,80,Vegetarian,Car,House,4.42
France,71,Vegan,Car,House,2.42
Italy,54,Vegetarian,Car,Apartment,4.04
UK,24,Vegan,Public Transit,House,2.71
UK,48,Vegetarian,Car,House,4.66
Italy,50,Vegetarian,Public Transit,House,3.64
Spain,34,Vegan,Bicycle,House,2.21
UK,29,Meat-based,Bicycle,Apartment,3.52
Germany,60,Vegan,Public Transit,House,4.52
UK,69,Vegan,Public Transit,Apartment,2.68
Italy,47,Meat-based,Car,Apartment,5.08
Italy,72,Vegetarian,Public Transit,House,4.15
France,58,Meat-based,Public Transit,House,4.06
Germany,34,Vegan,Bicycle,Apartment,2.85
France,27,Meat-based,Car,Apartment,4.04
Italy,47,Vegetarian,Bicycle,House,2.97
France,30,Meat-based,Public Transit,Apartment,3.11
Italy,60,Vegan,Car,Apartment,3.17
Spain,68,Meat-based,Car,Apartment,4.4
Italy,73,Meat-based,Public Transit,House,5.01
France,43,Vegan,Car,Apartment,2.11
UK,77,Meat-based,Bicycle,House,3.85
France,33,Vegan,Car,House,2.46
UK,65,Vegetarian,Bicycle,Apartment,3.01
Germany,27,Meat-based,Car,Apartment,7.57
Spain,44,Vegetarian,Bicycle,Apartment,2.56
Italy,62,Meat-based,Public Transit,House,4.82
Germany,79,Vegetarian,Car,House,6.12
Italy,70,Vegetarian,Car,Apartment,4.14
France,62,Vegan,Car,House,2.57
Italy,58,Vegan,Public Transit,Apartment,2.63
Germany,72,Vegetarian,Public Transit,Apartment,5.39
Spain,77,Vegetarian,Public Transit,Apartment,3.58
Germany,37,Meat-based,Car,House,7.89
Spain,68,Meat-based,Public Transit,Apartment,4.38
Spain,48,Vegan,Public Transit,House,2.86
France,70,Meat-based,Bicycle,House,2.97
Italy,44,Vegan,Bicycle,House,2.24
France,66,Meat-based,Bicycle,Apartment,2.74
Germany,18,Vegetarian,Car,House,5.92
France,25,Meat-based,Car,Apartment,4.08
Spain,68,Vegetarian,Public Transit,House,3.93
Germany,34,Meat-based,Bicycle,House,5.71
Germany,23,Vegetarian,Public Transit,Apartment,4.88
Spain,78,Vegan,Car,Apartment,2.99
UK,59,Vegan,Bicycle,Apartment,2.25
Spain,30,Vegetarian,Bicycle,Apartment,2.33
UK,45,Vegan,Public Transit,Apartment,2.45
Italy,28,Vegan,Car,Apartment,3.03
Spain,67,Vegetarian,Bicycle,House,2.63
Germany,30,Vegetarian,Public Transit,House,5.41
Spain,72,Meat-based,Bicycle,Apartment,3.52
Italy,64,Vegan,Car,House,3.02
Germany,19,Vegetarian,Public Transit,Apartment,5.1
Germany,41,Vegan,Bicycle,House,2.96
Spain,26,Vegetarian,Bicycle,House,2.95
Spain,63,Vegetarian,Bicycle,House,2.6
UK,21,Meat-based,Public Transit,Apartment,4.43
Italy,56,Vegan,Bicycle,Apartment,1.83
UK,57,Vegetarian,Public Transit,House,4.1
Germany,79,Vegan,Car,Apartment,3.95
UK,49,Vegetarian,Public Transit,Apartment,3.27
UK,45,Meat-based,Public Transit,Apartment,4.29
Germany,49,Vegetarian,Bicycle,House,4.67
Italy,75,Vegetarian,Bicycle,House,3.02
Spain,75,Meat-based,Public Transit,House,4.81
Germany,53,Vegan,Bicycle,House,2.94
Germany,21,Meat-based,Car,Apartment,6.88
Germany,63,Vegetarian,Public Transit,Apartment,5.48
Spain,20,Vegetarian,Public Transit,House,3.63
France,72,Vegan,Car,Apartment,2.22
Germany,73,Vegetarian,Car,Apartment,5.81
Italy,54,Vegan,Bicycle,Apartment,2.07
France,51,Vegan,Car,House,2.76
Germany,67,Vegetarian,Bicycle,Apartment,4.18
France,36,Vegan,Bicycle,Apartment,1.57
UK,77,Meat-based,Public Transit,Apartment,4.04
Spain,71,Vegan,Bicycle,House,2.11
Italy,56,Vegan,Car,House,3.53
UK,78,Vegetarian,Public Transit,Apartment,3.36
France,69,Vegan,Public Transit,House,2.43
France,53,Vegan,Public Transit,Apartment,2.02
Germany,33,Vegetarian,Car,Apartment,5.93
Germany,42,Vegetarian,Public Transit,Apartment,4.61
Spain,69,Vegetarian,Bicycle,House,3.07
UK,26,Vegetarian,Bicycle,Apartment,2.96
UK,30,Vegetarian,Public Transit,House,3.94
UK,56,Vegetarian,Car,House,4.67
UK,29,Vegetarian,Bicycle,House,2.83
UK,39,Vegetarian,Bicycle,Apartment,2.85
Germany,77,Vegetarian,Bicycle,Apartment,3.71
Spain,23,Vegetarian,Public Transit,Apartment,3.61
Italy,71,Meat-based,Bicycle,House,3.61
France,53,Meat-based,Car,Apartment,3.82
Spain,24,Vegetarian,Bicycle,House,2.76
UK,23,Vegan,Car,Apartment,3.11
Spain,29,Meat-based,Public Transit,Apartment,3.77
Italy,38,Vegan,Bicycle,House,2.38
Spain,57,Vegetarian,Public Transit,Apartment,3.1
France,65,Vegan,Public Transit,Apartment,2.03
France,18,Vegetarian,Car,Apartment,2.85
Spain,47,Vegan,Public Transit,House,2.64
UK,41,Vegan,Bicycle,House,2.45
France,26,Meat-based,Car,Apartment,3.52
France,62,Meat-based,Car,Apartment,3.8
Germany,59,Meat-based,Public Transit,Apartment,5.71
Spain,27,Vegetarian,Public Transit,Apartment,3.04
Germany,65,Vegan,Public Transit,House,4.13
Spain,55,Meat-based,Car,House,5.15
Spain,21,Vegetarian,Car,Apartment,3.75
Spain,80,Vegetarian,Public Transit,House,3.32
Spain,49,Vegan,Bicycle,House,2.02
France,51,Meat-based,Public Transit,House,3.86
Italy,75,Vegan,Public Transit,House,2.68
UK,78,Vegan,Public Transit,House,3.09
France,28,Vegetarian,Bicycle,Apartment,2.12
Spain,32,Vegan,Car,House,3.31
Spain,26,Vegetarian,Bicycle,House,3.11
Italy,68,Vegetarian,Car,Apartment,3.71
France,60,Vegetarian,Car,Apartment,2.87
UK,49,Meat-based,Public Transit,House,4.76
Germany,53,Meat-based,Car,House,8.28
Italy,61,Meat-based,Car,Apartment,5.14
Italy,45,Meat-based,Bicycle,Apartment,3.13
Germany,49,Vegetarian,Public Transit,House,5.84
UK,35,Meat-based,Bicycle,Apartment,3.61
Spain,69,Vegetarian,Car,Apartment,3.86
UK,68,Meat-based,Bicycle,Apartment,3.47
Germany,58,Meat-based,Car,House,7.16
Italy,63,Vegetarian,Bicycle,House,3.15
France,27,Vegan,Public Transit,House,2.44
France,72,Meat-based,Public Transit,House,4.02
France,33,Vegetarian,Public Transit,House,3.06
France,35,Vegetarian,Bicycle,House,2.31
Germany,27,Vegan,Public Transit,Apartment,3.47
Spain,44,Vegetarian,Public Transit,House,3.98
Spain,27,Meat-based,Bicycle,Apartment,2.93
Italy,43,Meat-based,Public Transit,Apartment,4.26
France,60,Vegan,Car,Apartment,2.51
UK,80,Vegetarian,Public Transit,House,4.27
UK,73,Vegetarian,Bicycle,House,3.33
France,70,Vegetarian,Bicycle,Apartment,2.22
Spain,59,Meat-based,Bicycle,House,3.7
Spain,67,Meat-based,Public Transit,Apartment,3.73
Italy,42,Vegan,Bicycle,Apartment,2.04
UK,36,Meat-based,Car,House,5.52
Germany,19,Meat-based,Bicycle,House,5.1
Italy,64,Vegetarian,Bicycle,Apartment,2.84
Italy,34,Vegan,Bicycle,House,2.09
France,46,Vegetarian,Bicycle,Apartment,2.12
Germany,69,Vegan,Bicycle,Apartment,2.82
Italy,60,Vegan,Bicycle,Apartment,2.12
UK,65,Meat-based,Car,House,5.52
Germany,70,Vegetarian,Public Transit,Apartment,4.63
Spain,71,Vegetarian,Car,Apartment,3.34
Germany,48,Meat-based,Public Transit,Apartment,6.07
UK,43,Vegan,Bicycle,House,2.48
UK,49,Vegan,Public Transit,House,3.08
Spain,64,Vegetarian,Car,Apartment,3.66
Spain,63,Vegetarian,Car,Apartment,3.8
Spain,48,Meat-based,Bicycle,Apartment,3.48
Italy,76,Meat-based,Bicycle,House,3.47
Italy,54,Vegetarian,Car,Apartment,3.58
Italy,41,Vegetarian,Public Transit,House,3.51
Germany,27,Vegan,Public Transit,Apartment,4.06
Italy,74,Vegetarian,Car,Apartment,4.12
Spain,18,Meat-based,Bicycle,House,3.25
France,44,Vegetarian,Bicycle,House,2.41
Italy,68,Vegetarian,Public Transit,Apartment,3.67
UK,58,Vegetarian,Public Transit,House,3.68
Italy,23,Vegan,Bicycle,House,2.21
Spain,39,Vegan,Car,House,3.19
France,73,Meat-based,Bicycle,Apartment,2.71
Italy,53,Vegan,Car,Apartment,2.73
UK,52,Vegan,Car,Apartment,3.12
UK,75,Meat-based,Car,Apartment,5.41
Italy,68,Meat-based,Car,House,4.93
UK,56,Vegetarian,Public Transit,Apartment,3.56
France,39,Vegetarian,Car,House,3.07
UK,38,Vegetarian,Public Transit,Apartment,3.29
France,52,Meat-based,Public Transit,Apartment,3.22
France,27,Vegetarian,Public Transit,Apartment,2.51
Italy,29,Meat-based,Bicycle,Apartment,3.25
France,38,Meat-based,Public Transit,House,3.63
France,21,Meat-based,Car,Apartment,3.81
UK,42,Meat-based,Public Transit,Apartment,4.29
UK,44,Meat-based,Public Transit,Apartment,4.37
Germany,76,Meat-based,Public Transit,Apartment,5.91
UK,59,Meat-based,Public Transit,House,4.9
UK,31,Meat-based,Public Transit,Apartment,4.71
UK,78,Vegetarian,Bicycle,House,2.8
Spain,79,Vegan,Public Transit,Apartment,2.22
Spain,35,Vegan,Public Transit,House,3.02
Germany,55,Vegan,Public Transit,Apartment,3.48
UK,54,Meat-based,Public Transit,Apartment,4.36
France,71,Meat-based,Bicycle,House,3.19
Germany,57,Vegan,Public Transit,House,4.26
Spain,35,Meat-based,Bicycle,House,3.44
Spain,79,Vegan,Public Transit,Apartment,2.67
Germany,59,Meat-based,Bicycle,House,4.85
France,61,Meat-based,Public Transit,House,4.02
UK,23,Vegan,Bicycle,Apartment,2.1
Spain,61,Meat-based,Public Transit,House,4.87
Italy,42,Meat-based,Bicycle,Apartment,3.14
Italy,77,Meat-based,Public Transit,Apartment,4.12
France,66,Vegetarian,Bicycle,House,2.23
UK,58,Vegetarian,Bicycle,Apartment,2.62
Spain,79,Vegetarian,Car,House,4.06
UK,31,Meat-based,Car,House,5.07
Italy,54,Vegan,Public Transit,Apartment,2.64
UK,61,Vegan,Bicycle,Apartment,1.9
Germany,65,Meat-based,Car,House,8.36
Germany,74,Vegan,Bicycle,House,3.03
France,80,Vegan,Bicycle,House,1.85
Spain,18,Vegetarian,Bicycle,Apartment,2.74
Italy,45,Vegetarian,Public Transit,Apartment,3.61
Spain,49,Vegetarian,Bicycle,Apartment,2.76
Germany,21,Vegetarian,Public Transit,House,5.33
Spain,30,Vegetarian,Car,Apartment,4.02
Germany,80,Vegan,Public Transit,Apartment,4.05
Germany,28,Vegetarian,Public Transit,Apartment,5.11
France,19,Vegetarian,Public Transit,Apartment,2.8
Italy,71,Vegetarian,Car,Apartment,3.85
Italy,71,Meat-based,Public Transit,Apartment,4.74
UK,57,Vegetarian,Car,House,4.47
France,80,Meat-based,Car,House,4.08
France,68,Meat-based,Car,House,3.86
UK,58,Vegetarian,Car,Apartment,4.1
UK,21,Vegetarian,Public Transit,House,3.64
Spain,32,Vegan,Bicycle,Apartment,1.9
Spain,68,Vegetarian,Bicycle,Apartment,2.48
France,47,Vegan,Public Transit,Apartment,1.9
France,56,Vegan,Car,Apartment,2.47
Germany,58,Vegan,Public Transit,House,4.09
UK,46,Meat-based,Car,Apartment,5.24
France,26,Vegetarian,Bicycle,House,2.38
Italy,37,Vegan,Bicycle,Apartment,1.89
Italy,56,Vegetarian,Public Transit,House,4.24
UK,55,Vegan,Bicycle,Apartment,1.89
UK,70,Vegan,Car,House,3.2
Germany,58,Meat-based,Car,House,7.21
Spain,62,Vegan,Public Transit,House,2.94
UK,79,Vegetarian,Bicycle,House,3.03
Germany,24,Vegetarian,Car,House,5.81
France,58,Meat-based,Bicycle,Apartment,2.65
Germany,33,Vegetarian,Bicycle,House,4.57
Spain,31,Vegetarian,Car,Apartment,3.56
France,40,Meat-based,Bicycle,Apartment,2.48
Spain,30,Vegan,Bicycle,House,1.94
France,30,Meat-based,Public Transit,Apartment,3.24
Italy,64,Meat-based,Public Transit,Apartment,4.08
France,29,Vegetarian,Car,Apartment,3.26
Germany,42,Vegan,Car,House,5.02
Italy,47,Meat-based,Public Transit,House,5.0
UK,80,Vegan,Public Transit,Apartment,2.47
Germany,68,Meat-based,Car,House,7.99
Italy,56,Vegetarian,Bicycle,Apartment,2.94
UK,55,Meat-based,Bicycle,House,4.07
Italy,33,Meat-based,Bicycle,House,4.05
UK,79,Vegan,Public Transit,Apartment,2.79
Spain,68,Vegan,Bicycle,Apartment,1.79
Spain,66,Vegan,Bicycle,House,2.13
Spain,29,Vegetarian,Bicycle,House,2.86
Spain,63,Vegetarian,Public Transit,House,3.72
UK,59,Meat-based,Car,Apartment,5.34
Spain,73,Meat-based,Public Transit,Apartment,3.96
Spain,54,Meat-based,Public Transit,House,4.62
Germany,66,Meat-based,Public Transit,House,6.95
Germany,55,Meat-based,Public Transit,House,6.82
Spain,45,Vegetarian,Public Transit,House,3.52
Spain,19,Meat-based,Public Transit,Apartment,3.92
France,40,Meat-based,Public Transit,Apartment,3.63
Germany,24,Meat-based,Car,House,6.98
Germany,39,Meat-based,Bicycle,House,5.11
Italy,30,Vegan,Bicycle,Apartment,2.24
UK,76,Vegetarian,Car,House,4.21
Italy,68,Vegetarian,Public Transit,Apartment,3.47
UK,66,Meat-based,Public Transit,Apartment,4.21
Germany,48,Meat-based,Bicycle,House,5.62
Spain,39,Meat-based,Public Transit,Apartment,4.06
Spain,31,Vegetarian,Public Transit,Apartment,3.21
UK,73,Meat-based,Public Transit,Apartment,4.45
Italy,39,Meat-based,Public Transit,House,5.02
Spain,66,Vegan,Bicycle,House,2.06
France,54,Meat-based,Car,Apartment,4.18
Italy,54,Vegan,Bicycle,House,2.48
Germany,78,Vegetarian,Car,House,5.77
France,39,Vegan,Public Transit,House,2.1
France,61,Vegan,Car,Apartment,2.44
UK,49,Meat-based,Car,Apartment,4.52
Spain,36,Meat-based,Car,House,5.24
France,47,Meat-based,Public Transit,Apartment,3.21
Spain,43,Meat-based,Car,Apartment,4.61
Spain,65,Meat-based,Public Transit,Apartment,3.81
Germany,37,Vegetarian,Bicycle,House,4.01
UK,78,Vegetarian,Bicycle,Apartment,2.77
Spain,35,Meat-based,Car,Apartment,4.52
Spain,56,Meat-based,Bicycle,House,3.85
Spain,47,Vegetarian,Bicycle,Apartment,2.68
Italy,59,Vegetarian,Public Transit,House,3.79
Germany,44,Meat-based,Car,House,7.63
Germany,62,Vegan,Car,House,4.8
France,33,Meat-based,Public Transit,House,3.94
France,62,Vegan,Bicycle,Apartment,1.73
Spain,66,Vegan,Car,House,2.79
France,50,Vegetarian,Public Transit,House,2.85
Germany,50,Meat-based,Public Transit,Apartment,5.7
Spain,42,Vegetarian,Bicycle,House,3.05
Spain,20,Meat-based,Public Transit,Apartment,4.29
Germany,38,Vegan,Bicycle,House,3.22
France,23,Vegan,Bicycle,Apartment,1.67
Spain,26,Vegetarian,Public Transit,Apartment,3.07
France,56,Meat-based,Car,House,3.92
Spain,28,Meat-based,Bicycle,Apartment,3.31
Germany,46,Vegetarian,Car,Apartment,5.77
UK,31,Vegetarian,Bicycle,Apartment,2.96
UK,59,Vegan,Bicycle,Apartment,2.03
Italy,46,Meat-based,Bicycle,Apartment,3.08
Spain,67,Meat-based,Car,House,5.5
Germany,23,Meat-based,Public Transit,Apartment,6.84
Italy,70,Meat-based,Bicycle,Apartment,3.2
France,69,Vegan,Car,Apartment,2.08
UK,24,Vegetarian,Public Transit,Apartment,3.65
UK,43,Vegetarian,Car,Apartment,3.73
Italy,38,Meat-based,Car,House,5.55
France,42,Meat-based,Public Transit,Apartment,3.14
Italy,59,Vegan,Public Transit,Apartment,2.39
Germany,44,Vegetarian,Bicycle,House,4.72
France,63,Vegan,Bicycle,Apartment,1.52
France,56,Vegetarian,Bicycle,House,2.46
Germany,39,Meat-based,Bicycle,House,5.9
Spain,22,Vegetarian,Car,House,3.97
Germany,50,Vegan,Bicycle,Apartment,2.75
UK,66,Meat-based,Public Transit,Apartment,4.67
Germany,57,Meat-based,Car,Apartment,6.75
Italy,30,Meat-based,Public Transit,Apartment,4.48
Germany,77,Vegan,Bicycle,House,3.38
Italy,26,Vegetarian,Public Transit,Apartment,3.5
Spain,59,Vegetarian,Car,Apartment,3.91
Italy,39,Meat-based,Car,Apartment,5.24
Germany,69,Vegan,Bicycle,Apartment,2.97
Spain,51,Vegetarian,Car,House,4.17
France,73,Vegetarian,Car,Apartment,2.78
Germany,78,Meat-based,Car,Apartment,6.47
UK,71,Meat-based,Car,Apartment,4.88
Spain,37,Meat-based,Bicycle,Apartment,3.04
Germany,56,Meat-based,Public Transit,House,7.03
Germany,35,Vegetarian,Car,House,6.03
Germany,48,Vegetarian,Public Transit,House,5.83
Spain,19,Vegetarian,Public Transit,Apartment,3.46
Italy,56,Vegan,Car,Apartment,2.76
Spain,37,Vegetarian,Public Transit,House,3.7
Spain,22,Vegetarian,Car,House,3.82
Germany,18,Meat-based,Bicycle,House,5.37
Spain,78,Vegetarian,Bicycle,House,2.78
Italy,59,Vegan,Car,House,3.48
France,42,Vegan,Car,Apartment,2.41
Italy,67,Vegan,Public Transit,House,2.98
Italy,62,Meat-based,Bicycle,House,4.09
Germany,33,Vegetarian,Car,House,6.31
France,62,Vegan,Bicycle,Apartment,1.53
Spain,78,Vegan,Car,House,2.89
UK,78,Vegan,Car,Apartment,2.74
France,59,Vegan,Public Transit,House,2.38
France,51,Meat-based,Public Transit,Apartment,3.66
Italy,62,Vegetarian,Bicycle,House,3.06
Spain,66,Vegan,Car,Apartment,2.82
Italy,70,Meat-based,Public Transit,Apartment,4.73
Spain,62,Vegetarian,Car,Apartment,3.89
France,24,Meat-based,Bicycle,House,2.98
Italy,64,Vegetarian,Car,Apartment,3.78
Germany,30,Vegetarian,Car,Apartment,5.48
Germany,29,Meat-based,Car,Apartment,7.35
Germany,34,Vegetarian,Public Transit,Apartment,5.35
Germany,23,Vegetarian,Car,House,5.69
France,39,Meat-based,Bicycle,Apartment,2.66
France,18,Meat-based,Public Transit,Apartment,3.55
France,24,Meat-based,Bicycle,Apartment,2.6
UK,79,Vegetarian,Public Transit,House,4.16
UK,45,Vegetarian,Public Transit,House,4.36
Germany,78,Vegetarian,Bicycle,House,4.2
France,80,Vegetarian,Public Transit,Apartment,2.47
Spain,64,Meat-based,Car,Apartment,4.91
Italy,78,Vegan,Car,House,3.2
Spain,50,Vegetarian,Bicycle,Apartment,2.31
Italy,19,Vegan,Public Transit,Apartment,2.86
Italy,61,Vegetarian,Car,House,4.22
UK,68,Meat-based,Public Transit,House,5.38
Spain,60,Vegan,Car,House,2.92
Germany,63,Meat-based,Bicycle,Apartment,4.48
France,37,Vegan,Bicycle,House,1.66
Spain,79,Meat-based,Public Transit,Apartment,3.9
Germany,66,Vegan,Bicycle,Apartment,2.68
France,28,Vegetarian,Public Transit,House,2.88
Italy,60,Vegetarian,Bicycle,Apartment,2.8
UK,58,Vegan,Public Transit,Apartment,2.83
Italy,73,Meat-based,Bicycle,Apartment,3.49
Spain,76,Vegan,Bicycle,House,2.2
UK,79,Vegetarian,Car,Apartment,3.77
Italy,23,Meat-based,Car,House,5.64
Germany,65,Meat-based,Bicycle,House,4.98
Italy,79,Vegetarian,Bicycle,Apartment,2.61
UK,52,Meat-based,Public Transit,House,4.77
